id,dialogue,summary
13728509,"Clara: Hi, what you up to?
Neela: Not much, chilling out.
Clara: Just rewatching Dear White People on Netflix, love it!😍
Neela: Oh yeah, heard of it, but not seen it yet? Any good?
Clara: Well, yes! I just said it was, LOL. It's about a fictional Ivy League University and the students in one House of Residence.
Neela: Why is it called Dear White People?
Clara: That's the name of the radio show the main character, Sam, presents on college radio.
Neela: Yeah, but why is it so good?
Clara: Well, it's mainly stories from the perspective of black students there, which I find very interesting. The characters are strong and likeable too.
Neela: I suppose it's rather different from the UK, then?
Clara: It seems so, as there is a lot more racial awareness and discrimination there than here. It all kicks off when there is a Blackface party held by an elite group of white students, which gets out of hand.
Neela: How's that?
Clara: Well, obviously, the black students try to break it up and there's also an incident where one guy, Reggie, gets a loaded gun pointed at him by a campus policeman after he gets into an argument with a white student. It may be at another party, though, I'm not sure of that.
Neela: Oh, that sounds pretty strong stuff. What else happens?
Clara: Well, there is a young black guy called Lionel who is coming to terms with being gay and is finding his voice as a journalist. He unearths corruption at the uni and he and Sam also uncover some conspiracy theory stuff about secret societies.
Neela: Well, I must say, it does sound good, I'll check it out soon!
Clara: Definitely, there is supposed to be a Series 3 coming up next year, really looking forward to it!
Neela: Well, thanks Clara, I'm just watching the rest of a movie and I'll try Dear White People.
Clara: Don't blame me if you get hooked and stay up till 4!
Neela: See ya, love!
Clara: Bye!","Clara and Neela discuss the TV show ""Dear White People,"" praising its racial commentary and complex characters. They plan to watch it."
13728958,"Deirdre: Hi Beth, how are you love?
Beth: Hi Auntie Deirdre, I'm been meaning to message you, had a favour to ask.
Deirdre: Wondered if you had any thought about your Mum's 40th, we've got to do something special!
Beth: How about a girls weekend, just mum, me, you and the girls, Kira will have to come back from Uni, of course.
Deirdre: Sounds fab! Get your thinking cap on, it's only in 6 weeks! Bet she's dreading it, I remember doing that!
Beth: Oh yeah, we had a surprise party for you, you nearly had a heart attack! 
Deirdre: Well, it was a lovely surprise! Gosh, thats nearly 4 years ago now, time flies! What was the favour, darling?
Beth: Oh, it was just that I fancied trying a bit of work experience in the salon, auntie.
Deirdre: Well, I am looking for Saturday girls, are you sure about it? you could do well in the exams and go on to college or 6th form.
Beth: I know, but it's not for me, auntie, I am doing all foundation papers and I'm struggling with those.
Deirdre: What about a tutor? Kira could help you in the hols.
Beth: Maybe, but I'd like to try working. I'm 16 soon, I'm old enough.
Deirdre: I know. Look, pop in tomorrow after school and we'll have a cuppa and a chat.
Beth: Yes, thanks auntie. I'd really like to try the beauty therapy side.
Deirdre: Its not for the squeamish, mind. Massage, pedicures, not to mention waxing!
Beth: Oh yes, I was chatting to a friend about it yesterday!
Deirdre: Maxine manages the beauty side, you can meet her tomorrow and we'll see how it goes.
Beth: Yes, I'd really like that. 
Deirdre: We can try a few hours on a Saturday for a couple of weeks as work experience. I'll give you a tenner or so per session to start off for your lunch, coffee and bus fare etc. If you like, we'll take it from there.
Beth: OK, I like the sound of it! See you tomorrow Auntie! Love you!
Deirdre: Bye, lovely girl! Xx",Deirdre and Beth plan a special birthday surprise for Beth's mum and discuss Beth's desire to work in Deirdre's salon.
13829966,"Adam: Have you talked to May?
Karen: Yes, yesterday, why?
Adam: I just talked to her and I must admit I worry about her
Karen: Me too, I suggested she should see a specialist, but she wasn't very happy about it
Adam: No wonder...
Karen: I know, but I think this is serious. She's saying she's depressed, like everyone around, but in her case it may be true
Adam: She was telling me she doesn't feel like doing anything, she's bored all the time, she never feels happy. It sounds like a real, typical depression
Adam: She also told me that she has trouble sleeping. I asked her to go out for a beer or anything basically, but she doesn't want to leave the flat
Karen: Oh my, it sounds really serious. I don't what to tell you
Adam: I was wondering how I can help her
Karen: Honestly I don't know if we can help her, Adam. I suggested a specialist because these are very sensitive issues and I'm afraid we may unintentionally make it worse
Adam: Yes, but she doesn't want to see a specialist. Basically, she doesn't want to see anyone
Karen: Hm... I don't know... How about I call someone for advice? So we could know what to do
Adam: Sounds rational, do you know anyone you could call? Don't mention her name
Karen: Of course I won't! I have a friend who's a psychologist, we can trust her. I'll let you know
Adam: Thank you Karen!","Adam and Karen discuss May's potential depression, considering specialist help, and seeking advice from a psychologist friend."
13864400,"Anne: You were right, he was lying to me :/
Irene: Oh no, what happened?
Jane: who? that Mark guy?
Anne: yeah, he told me he's 30, today I saw his passport - he's 40
Irene: You sure it's so important?
Anne: he lied to me Irene","Anne discovers Mark's lie about his age, Irene questions the significance, but Anne insists on its importance."
13716103,"Augustine: Guys, remember it's Wharton's bday next week?
Darlene: yay, a party!
Heather: yay! crap we need to buy him a present
Walker: he mentioned paper shredder once
Augustine: wtf?!?
Walker: he did really. for no reason at all.
Heather: whatever that make him happy
Darlene: cool with me. we can shred some papers at the party 
Augustine: so much fun
Heather: srsly guys, you mean we should really get office equipment???
Darlene: Walk, ask him if he really wnts it and if he yes then we get it
Walker: i heard him say that. wasn;t drunk. me neither.
Darlene: but better ask him twice
Walker: will do
Augustine: 2moro ok?
Darlene: and sure ask ab the party!","Friends discuss buying a paper shredder as a birthday gift for Wharton, planning a party."
13716128,"Ollie: Okay, Kelly! Ur up nxt!
Kelly: Me? I don't wanna.
Mickey: C'mon!
Jessica: Yeah! What's yours?
Kelly: Fine. It's a sculpture garden in Finnland.
Ollie: What's scary about sculptures? Wait! Do they resemble vampires and stuff?
Mickey: Nah, I'm sure they look rly nice.
Kelly: It's not the sculptures, it's the amount of them and their faces!
Jessica: Faces? What faces?
Kelly: Well, they resemble ppl in different activities like hugging, training, doing sport and so on. But the faces are just morbid and there's like a hundred of them. All staring at you!
Ollie: Another one?
Mickey: Certainly!
Jessica: Well, Ollie, ur turn!
Ollie: Nagoro village in Japan!
Mickey: Y?
Ollie: Well, maybe it's not scary, but it similar to Kelly's place. It's just creepy as hell.
Jessica: Bt y?
Ollie: Imagine a village with ppl living in it. And in the same village u have these human-sized figures. And there's more of them than the ppl that actually live there!
Kelly: Creepy AH!
Mickey: WTF?! Y would ppl even do that?
Jessica: Idk. Idc. Never. Going. There.
Ollie: See! Mine was the worst!
Jessica: Bt not the scariest!
Ollie: Point taken.
Mickey: Listen, guys, fun talking to u, bt gotta go. 
Kelly: Yeah, me too. Bye!
Jessica: Bye!
Ollie: Cu!","A group discusses scary places, including a sculpture garden in Finland and a village in Japan with eerie human-sized figures."
13682496,"Myah: <file_photo>
Selah: I can't see the phone number very well. Rewrite it plz
Myah: <file_photo>
Selah: The phone of that person is off","Selah asks Myah to rewrite a phone number, but Myah informs her the person's phone is off."
13730015,"Eric: Hey Bella, What happened today in boss's room?? Was he angry??
Bella: NO NO!!! He wasn't angry at all.. He actually appreciated on our brave deccision to dismiss the request of client..
Eric: REALLY!! He appreciated this decision..
Bella: Yeah he really did.. I too was astounded by his reaction...
Eric: What could possibly lead to this?? I mean , they were potential clients...
Bella: What he told me was that he was looking forward to bring in new clients which were our current client's competitor..
Eric: Oh that could possibly be the reason.Well anyways you got appreciation xD congo	
Bella: hahaha Blessing in disguise xD",Bella tells Eric the boss appreciated their decision to dismiss a client's request for new competitors.
13716107,"Jesse: I have an idea that'll cheer u up!
Melvin: What is it?
Jesse: I was thinking about doing something 4 the less fortunate this year. 
Lee: Gr8 idea! Anything in mind?
Maxine: So no presents 4 me? :(
Jesse: U'll get ur presents, no worries ;)
Maxine: Phew! Was getting a bit worried for a moment ;)
Melvin: Bt what do u have in store?
Jesse: Well, have u heard about the Refuge?
Lee: No. What's that?
Melvin: That's the Christmas foundation to help women and children?
Maxine: I think I've heard of them. So what about them?
Jesse: That's right! They help women and children who escape from abuse. And every year they post wish lists of such ppl online and I thought that we could choose one and chip in. 
Melvin: That's a great idea!
Lee: Count me in!
Maxine: Me too.
Jesse: Have a look at these 3 lists: <file_other> <file_other> <file_other>
Lee: I think the second one would be the easiest to arrange.
Maxine: Agree.
Melvin: What about number 3? A bit ambitious, but if we pull together, we'll manage.
Jesse: Actually, I'm in for the 3rd one.
Maxine: I think the 2nd list would be better. The items cos more or less the same and we can easily divide it.
Melvin: But if we agree to chip in the same amount of money, we can deal with the 3rd one easily. 
Lee: Come to think of it, the 3rd one is not that bad. A bit of planning and logistics and were good to go. 
Jesse: So it's settled?
Melvin: Yup.
Lee: Sure. 
Maxine: Fine.",Friends discuss helping the less fortunate by choosing a wish list from a refuge for women and children. They agree on a list to contribute to.
13728966,"Mary: hey, im kinda broke, lend me a few box
Carter: okay, give me an hour, im at the train station
Mary: cool, thanks","Mary asks Carter for money, he agrees to meet her at the train station in an hour."
13828761,"Charlotte: Hello Paula, a funny question: how do you pronounce 'Natal lily', the name of the plant? It refers to the region of ZA and not to the word 'natal' as in 'his natal day', right?
Paula: Hi Charlotte, 'nu tell', 'nu' as in 'number'.
Charlotte: And the stress on the second syllable? Or the first?
Paula: 2nd
Charlotte: Thank you dear.
Paula: <file_other>
Charlotte: Lovely to hear your voice!!
Paula: :$
Paula: <file_other>
Charlotte: :X","Charlotte asks Paula how to pronounce 'Natal lily,' Paula responds, ""nu tell"" with stress on the second syllable. Charlotte thanks Paula."
13728735,"Jack: Cocktails later?
May: YES!!!
May: You read my mind...
Jack: Possibly a little tightly strung today?
May: Sigh... without question.
Jack: Thought so.
May: A little drink will help!
Jack: Maybe two!","Jack suggests cocktails, May eagerly agrees. May admits feeling tense. Jack suggests drinks may help, maybe two."
13828647,"Margaret: Honey, buy me some painkiller.
Jack: What is going on?
Margaret: Terrible headache!
Jack: Maybe you should rest!","Margaret asks Jack for painkiller due to a headache, Jack suggests rest."
13864532,"Daniel: have you guys played DA?
Mary: which one?
Daniel: Inquisition
Mary: damn yes
Mary: love it to bits - team Dorian <3
Lucas: is it any good? I played just DA II
Mary: is it any good?! it's fucking brilliant!!!
Mary: Dan, are you playing?
Daniel: just started and I'm not sure, trying to get used to the mechanics
Mary: you have to give it a go, I was sceptical at first, but... omg, wait for Dorian
Lucas: Is it better than 2?
Mary: oh yes","Daniel and Mary discuss Dragon Age: Inquisition, praising it compared to Dragon Age II. Mary particularly loves the character Dorian."
13810120,"Riley: Chloe is on tv!!
James: on which channel?
James: never mind i've found it
James: what is she doing? i don't get it
Riley: this is a programme in which women undergo a complete metamorphosis.
Riley: OMG she looks drop dead gorgeous!","Riley excitedly points out Chloe on TV, explaining she's in a show where women undergo transformations; they both admire her."
13716025,"Josh: Stephen, I think you've accidentaly taken my notebook home
Stephen: wait lemme check
Stephen: nope, I don't see it anywhere
Jack: oh shit, I've got it xDDD I don't even know why
Josh: xDDD ok, no problem, cool I know where it is
Jack: I'll bring it tomorow","Josh informs Stephen about a missing notebook, Jack discovers he has it, promises to return it tomorrow."
13810245,"Lola: hey girlfriend, what's up?
Adele: Oh, hi Lols, not much.
Adele: got a new dog.
Lola: another one?
Adele: Yup. a pup biscuit lab. 4 months. Chewy.
Lola: how did the others react?
Adele: the cats keep their distance, Poppy and Lulu seem to mother him. Speedy wants to play.
Lola: no fighting? that's new.
Adele: they say puppies are accepted by other animals more easily than older dogs
Lola: especially girl dogs, probably
Adele: with the other ones I had to wean them because I took them in as adult dogs. And girls like to fight. like crazy.
Lola: doggies, right/.
Adele: that too :P
Lola: haha. true though.
Adele: I know, right. Anyway, called him Bones. He's so plump it kinda fit.
Lola: cute. can't wait to see him.",Lola and Adele discuss Adele's new puppy named Bones and how their other pets react to him.
13863202,"Kristian: Adidas Or Nike?😃
Tabora: Adidas(＾ｖ＾)
Kristian: Watermelon or orange?😃😃
Tabora: Orange(＾ｖ＾)
Kristian: Superman or batman?😃😃😃
Tabora: Batman(＾ｖ＾)
Tabora: What are we doing now?
Kristian: Just playing games😃😃😃😃
Kristian: Wanna keep going?😃
Tabora: Sure! It is kinda fun!(*^0^*)
Kristian: Films or books?😃😃😀😀😀😀😀😀
Tabora: Films!(＾ｖ＾)
Tabora: When is my turn?","Friends play a game choosing between Adidas and Nike, watermelon and orange, Superman and Batman, films or books."
13819035,"Petra: I need to sleep, I can't stand how sleepy I am
Andy: I know, and it's so boring today, nobody's working at the office
Ezgi: I am working! lazy pigs
Petra: I'm sleeping with my eyes open, kill me
Andy: ask the fat woman from HR
Petra: she would kill me on spot without batting an eye
Andy: she always repeats she has a black belt in karate 
Petra: it's hard to believe she can move, but let her have whatever belt she wants
Andy: LOL
Petra: sooooo sleepy","Petra and Andy complain about being sleepy and bored at work, joking about a karate-trained coworker."
13817042,"Lilly: sorry, I'm gonna be late
Lilly: don't wait for me and order the food
Gabriel: no problem, shall we also order something for you?
Gabriel: so that you get it as soon as you get to us?
Lilly: good idea!
Lilly: pasta with salmon and basil is always very tasty there","Lilly apologizes for being late, suggests ordering without her. Gabriel offers to order for her. Lilly chooses pasta with salmon and basil."
13730929,"Cara: hey
Cara: are you at home
Celine: hey Cara
Celine: No i'm not
Cara: okay then, i just wanted to pass by
Celine: im sorry, i can drop by in the evening if you dont mind
Cara: its fine, call me then if you decide to come
Celine: ok","Cara wanted to visit Celine, who was not at home; they planned to meet later in the evening."
13863033,"Craig: Man, u there?
Derek: Yeah, tell me
Craig: I need help with my computer
Derek: What happened?
Craig: I don't know exactly but it's not working
Derek: Well, ok... give me 20 minutes, got to get to my car
Craig: Ok, thanks
Derek: No prob",Craig asks Derek for help with his computer. Derek agrees and asks for 20 minutes to arrive. They thank each other.
13729905,"Paul: What color flowers should I get
Cindy: any just not yellow
Paul: ok, pink?
Cindy: no maybe red
Paul: just tell me what color and what type ok?
Cindy: ugh, red roses! ",Paul asks Cindy about flower color. Cindy prefers red roses.
13829307,"Mary: Hello, I think you've left your credit card at our shop
Jenny: Thank you for getting in touch! Thank you so much!
Mary: No worries :)
Jenny: When can I pick it up?
Mary: Whenever you come, it's safe with one of our cashiers :)","Mary informs Jenny about her lost credit card, assures its safety, and offers flexible pickup at the shop."
13680802,"Laura: Where are you?
Paul: Almost there.
Laura: Which is?
Paul: Close to the Mac.
Laura: That's so far away!
Paul: 15 mins
Laura: I am not waiting any more, see you some other time.
Paul: Please, wait!
Laura: I've waited 30 minutes, 15 minutes ago you wrote you were almost here. This is too much.
Paul: I am so sorry.
Laura: I am not. ","Paul is running late, Laura gets impatient and decides not to wait."
13818220,"Salma: <file_video>
Salma: the latest cat meme
Hugh: oh sweet, I can never get enough of those lol
Hugh: <file_photo>
Salma: hahaha same",Salma and Hugh share cat memes and express enjoyment.
13864554,"Jake: we don't have english today
Nadia: whooooah!
Vanessa: cool! you sure though?
Jake: Smith called in sick, they couldn't find a replacement, oh yeah",Jake informs Nadia and Vanessa English class is canceled due to Smith's absence.
13715960,"Brandon: Shit, I've lost my credit card!
Brandon: I blocked it in the bank but it will take time before I get a new one
Brandon: can you lend me $ 100 guys?
Luke: sorry man, Im broke:/
Brandon: I see
Ian: what a misfortune, dude
Ian: I can lend you $$, no problem
Brandon: thanks, dude!","Brandon lost his credit card and needs money; Luke is broke, but Ian lends him the money."
13716051,"Inez: My dears, our evening inspired me to create this group conversation to plan further Food Evenings :)
Inez: This is my proposal for the next one: <file_photo>
Alicja: Wow, I will actually feel happy going to work thanks to this :D
Gosia: Happy going to work and even happier leaving it haha
Alicja: Just too bad that the time between 9 and 17 will be wasted :P
Patrycja: I really liked our evening, even the pizza was delicious :) How did you girls like it?
Inez: I loved it, Gosia really chose a great place :)
Gosia: I am an expert at eating :D
Alicja: Have you been to this restaurant Inez sent?
Gosia: No, it is quite new. But I heard good opinions! :D
Patrycja: And it fits with our theme of exploring world cuisines :)
Alicja: First Italy, now Korea! :D
Inez: So when could we do this again?
Gosia: I am not sure, but we have to before the holidays!
Patrycja: We should have less work in two weeks, we could go again on Wednesday?
Alicja: Sounds good to me!
Inez: Me too :D",Friends plan future Food Evenings after enjoying pizza together. They express excitement for the next gathering.
13817976,"Jane: google maps says it is at least 3h <file_other>
Steven: I used to make it in 2, trust me :D
Jane: but it's almost 300km..
Steven: the road is new , we will make it ^^
Jane: I don't want  to stress out , let's meet at 4:30 instead of 5, ok?
Steven: ok, if u reaaly want, we can meet at 4:30
Jane: thx! 
Jane: I will wait at the main entrance or where?
Steven: main entrance is good for me;-) 
Steven: cu",Jane and Steven discuss meeting time and location due to travel distance and new road conditions. They agree to meet at 4:30 at the main entrance.
13680611,"Steve: BTW, USA won last night!
Gulab: I forgot to check!
Steve: England playing tomorrow at 2:00!
Gulab: That's right, Croatia?
Steve: Yep.",Steve informs Gulab about the USA's win. They discuss England's match and confirm Croatia as the opponent.
13730529,"Mary: Did you tell your sister I am doing online job?
Mark: yes !
Mary: why
Mark: because she keep saying your good for nothing?
Mary: dint I tell you I don’t care?
Mark: what happened?
Mary: see I don’t want to prove anything to anyone..
Mark: I know… but I was just feeling proud so it was kind of show off…
Mary: she is asking everyone… and trying to get to the people I am working for
Mark: really!! I am sorry for that…
Mary: don’t be! I understand your feelings…  but u know how she is…
Mark: I know!! :? 
Mary: don’t be sad now its ok.. she cant do much about it… chill its ok but just be careful
Mark: I will be ..
Mary: btw it feels good that she is so jealous :P
Mark: lol my aim was to make her feel jealous
Mary: but i dont like it that she tries to contact the people i am working for ... what does she want?
Mark: may be she wants to confirm if its true... because its not easy to digest that your working from home and earning well!!!
Mary: whatever i just hate her
Mark: chill now .... :) love you
Mary: i am chilled :cool: ... love you too honey","Mary tells Mark not to tell her sister about her online job due to her sister's judgmental behavior. Mark accidentally brags to Mary's sister, causing discomfort. Mary expresses frustration with her sister's actions while Mark apologizes and reassures Mary. The conversation ends with mutual understanding and affection."
13813575,"Fiona: Are you free?
Tina: Yes, what's up?
Fiona: I'm trying to prepare a nice dinner for Chris and I thought that maybe I could prepare this tart of yours :)
Tina: I'm flattered!
Fiona: Well, it IS delicious :) Could help me do it?
Tina: Sure! It's not difficult. Do you have anything ready?
Fiona: I must admit I bought the crust...
Tina: Oh, ok :P Pity, but well, it's too late now.
Fiona: I tried making the filling once, but I finished with lemony scrambled eggs...
Tina: It happens, don't worry. The thing is that once you start adding eggs you can't stop mixing it, otherwise you'll end up with scrambled eggs.","Fiona asks Tina for tart recipe, Tina agrees. Fiona admits buying crust. Tina advises on egg mixing."
13865384,"Peadar: So who's coming for a drink later then??!
Clare: Oh lols soz I'm not in town
Annette: A drink?!!?!!
Peadar: A drink!!!
Annette: I’m home sick soz huns
Annette: Got lung lurgy
Oli: Are people at Jesus bar now?
James: Heading to Jesus bar now! Come join :) turn left as you come into college
Anne: Woops.. . Sorry guys I double booked myself!
Helen: Yes! Jesus bar, from around 9.15 ish
Peadar: Was that just a question oli😋 or did you mean... I'll join ye😁
Oli: I cycled and ran around the bar, but couldn't find anyone 😢
Clare: You cycled around the bar?
Oli: To the bar 😅
Helen: 🙈😍😇","Friends plan to meet at Jesus bar. Confusion over location, conflicting schedules, and spirited responses ensue."
13728017,"Ryan: I have a bad feeling about this
Ryan: <file_other>
Sebastian: Ukraine...
Sebastian: This russian circus will never end...
Ryan: I hope the leaders of of nations will react somehow to this shit.
Sebastian: I hope so too :(","Ryan shares concern, Sebastian mentions Ukraine, hoping for global leaders to act on the situation."
